cell,core
BaselTMA_SP41_153_X7Y5_265,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_191_X15Y7_1008,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_117_X13Y3_684,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_211_X4Y6_352,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_134_X3Y8_459,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_106_X2Y9_1755,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_186_X5Y4_2795,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_117_X13Y3_1193,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_14_X1Y8_1126,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_112_X5Y8_131,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_211_X4Y6_2277,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_117_X13Y3_1433,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_11_X13Y7_4499,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_186_X6Y4_1931,BaselTMA_SP41_186_X6Y4
BaselTMA_SP41_117_X13Y3_4509,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_106_X2Y9_566,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_101_X10Y8_2831,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_104_X8Y4_233_818,BaselTMA_SP41_104_X8Y4_233
BaselTMA_SP41_166_X15Y4_1981,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_101_X10Y8_3370,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_141_X11Y2_1844,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_203_X8Y8_2169,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_112_X5Y8_748,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_191_X15Y7_288,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_159_X12Y4_1974,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_211_X4Y6_1571,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_101_X10Y8_2855,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_11_X13Y7_3304,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_203_X8Y8_1531,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_206_X2Y2_343,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_141_X11Y2_4599,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_134_X3Y8_953,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_11_X13Y7_1091,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_104_X7Y4_93,BaselTMA_SP41_104_X7Y4
BaselTMA_SP41_112_X5Y8_1540,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_206_X2Y2_40,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_11_X13Y7_1186,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_203_X8Y8_1512,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_126_X14Y7_2008,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_191_X15Y7_1219,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_191_X15Y7_3249,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_117_X13Y3_3614,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_141_X11Y2_355,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_126_X14Y7_859,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_18_X13Y5_1608,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_104_X8Y4_233_892,BaselTMA_SP41_104_X8Y4_233
BaselTMA_SP41_135_X8Y5_1677,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_206_X2Y2_1190,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_20_X12Y5_298,BaselTMA_SP41_20_X12Y5
BaselTMA_SP41_100_X15Y5_2189,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_100_X15Y5_1382,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_104_X8Y4_175_1218,BaselTMA_SP41_104_X8Y4_175
BaselTMA_SP41_11_X13Y7_4020,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_117_X14Y3_24,BaselTMA_SP41_117_X14Y3
BaselTMA_SP41_203_X8Y8_547,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_100_X15Y5_1833,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_159_X12Y4_341,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_133_X3Y6_2028,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_141_X11Y2_1440,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_104_X8Y4_175_1331,BaselTMA_SP41_104_X8Y4_175
BaselTMA_SP41_191_X15Y7_1954,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_135_X8Y5_1620,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_112_X5Y8_886,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_206_X1Y2_2088,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_14_X1Y8_2669,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_206_X2Y2_594,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_191_X15Y7_4358,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_14_X1Y8_1427,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_191_X15Y7_3050,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_133_X3Y6_1534,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_166_X15Y4_340,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_114_X13Y4_404,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_153_X7Y5_456,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_112_X5Y8_1047,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_106_X2Y9_85,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_129_X7Y8_991,BaselTMA_SP41_129_X7Y8
BaselTMA_SP41_191_X15Y7_3677,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_112_X5Y8_3,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_206_X1Y2_1264,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_135_X8Y5_3106,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_114_X13Y4_2111,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_100_X15Y5_3293,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_206_X1Y2_2774,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_206_X1Y2_181,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_117_X13Y3_1926,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_206_X1Y2_1233,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_166_X15Y4_221,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_186_X5Y4_4387,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_133_X3Y6_1549,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_114_X13Y4_59,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_186_X5Y4_661,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_159_X12Y4_2417,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_141_X11Y2_966,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_204_X16Y4_238_431,BaselTMA_SP41_204_X16Y4_238
BaselTMA_SP41_141_X11Y2_5073,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_141_X11Y2_4844,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_100_X15Y5_1100,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_141_X11Y2_844,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_18_X13Y5_91,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_112_X5Y8_1438,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_186_X5Y4_2431,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_135_X8Y5_978,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_114_X13Y4_1562,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_11_X13Y7_3261,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_101_X10Y8_271,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_133_X3Y6_792,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_11_X13Y7_1573,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_117_X13Y3_676,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_117_X13Y3_2511,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_106_X2Y9_267,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_166_X15Y4_399,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_11_X13Y7_2241,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_133_X3Y6_475,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_135_X8Y5_3009,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_141_X11Y2_3030,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_117_X13Y3_1646,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_141_X11Y2_122,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_159_X12Y4_745,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_101_X10Y8_139,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_106_X2Y9_1916,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_186_X6Y4_183,BaselTMA_SP41_186_X6Y4
BaselTMA_SP41_18_X13Y5_1062,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_211_X4Y6_159,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_191_X15Y7_3631,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_20_X12Y5_360,BaselTMA_SP41_20_X12Y5
BaselTMA_SP41_114_X13Y4_2401,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_106_X2Y9_2122,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_196_X5Y7_185,BaselTMA_SP41_196_X5Y7
BaselTMA_SP41_211_X4Y6_2267,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_126_X14Y7_2049,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_186_X5Y4_3201,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_112_X5Y8_1060,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_20_X12Y5_184,BaselTMA_SP41_20_X12Y5
BaselTMA_SP41_204_X16Y4_237_72,BaselTMA_SP41_204_X16Y4_237
BaselTMA_SP41_211_X4Y6_250,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_141_X11Y2_4596,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_112_X5Y8_392,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_117_X13Y3_1177,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_126_X14Y7_2076,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_11_X13Y7_2769,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_100_X15Y5_1337,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_134_X3Y8_911,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_133_X3Y6_1877,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_101_X10Y8_92,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_126_X14Y7_2135,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_204_X16Y4_237_513,BaselTMA_SP41_204_X16Y4_237
BaselTMA_SP41_106_X2Y9_1795,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_135_X8Y5_3034,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_206_X2Y2_1328,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_191_X15Y7_647,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_100_X15Y5_1820,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_14_X1Y8_1264,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_159_X12Y4_1701,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_186_X5Y4_84,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_206_X1Y2_1373,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_11_X13Y7_1654,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_126_X14Y7_140,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_165_X5Y6_770,BaselTMA_SP41_165_X5Y6
BaselTMA_SP41_206_X1Y2_490,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_203_X8Y8_2509,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_135_X8Y5_142,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_191_X15Y7_1427,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_104_X8Y4_175_198,BaselTMA_SP41_104_X8Y4_175
BaselTMA_SP41_186_X5Y4_2671,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_186_X5Y4_4455,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_141_X12Y2_679,BaselTMA_SP41_141_X12Y2
BaselTMA_SP41_100_X15Y5_1344,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_206_X2Y2_483,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_114_X13Y4_441,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_191_X15Y7_2517,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_129_X7Y8_820,BaselTMA_SP41_129_X7Y8
BaselTMA_SP41_135_X8Y5_2404,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_14_X1Y8_325,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_100_X15Y5_1511,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_126_X14Y7_447,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_104_X8Y4_233_1572,BaselTMA_SP41_104_X8Y4_233
BaselTMA_SP41_141_X12Y2_635,BaselTMA_SP41_141_X12Y2
BaselTMA_SP41_191_X15Y7_4141,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_11_X13Y7_2168,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_166_X15Y4_2599,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_141_X11Y2_4533,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_104_X8Y4_175_1637,BaselTMA_SP41_104_X8Y4_175
BaselTMA_SP41_117_X13Y3_3913,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_141_X12Y2_465,BaselTMA_SP41_141_X12Y2
BaselTMA_SP41_133_X3Y6_3290,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_117_X13Y3_1078,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_186_X6Y4_1199,BaselTMA_SP41_186_X6Y4
BaselTMA_SP41_203_X8Y8_1008,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_153_X7Y5_951,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_18_X13Y5_728,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_135_X8Y5_890,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_141_X11Y2_3978,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_186_X5Y4_630,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_196_X5Y7_720,BaselTMA_SP41_196_X5Y7
BaselTMA_SP41_135_X8Y5_2287,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_20_X12Y5_147,BaselTMA_SP41_20_X12Y5
BaselTMA_SP41_177_X16Y5_1160,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_153_X7Y5_932,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_117_X13Y3_3528,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_177_X16Y5_2121,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_135_X8Y5_2111,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_203_X8Y8_2522,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_117_X13Y3_1586,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_134_X3Y8_1590,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_159_X12Y4_1249,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_186_X5Y4_3440,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_206_X1Y2_3022,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_186_X6Y4_100,BaselTMA_SP41_186_X6Y4
BaselTMA_SP41_133_X3Y6_1789,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_106_X2Y9_584,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_135_X8Y5_596,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_159_X12Y4_389,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_141_X11Y2_4062,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_100_X15Y5_2006,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_141_X11Y2_3214,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_11_X13Y7_4355,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_14_X1Y8_3199,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_11_X13Y7_2194,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_153_X7Y5_825,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_186_X6Y4_1837,BaselTMA_SP41_186_X6Y4
BaselTMA_SP41_186_X5Y4_4419,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_166_X15Y4_2380,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_191_X15Y7_2444,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_191_X15Y7_1388,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_191_X15Y7_2503,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_211_X4Y6_216,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_166_X15Y4_2187,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_159_X12Y4_2246,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_11_X13Y7_1189,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_211_X4Y6_343,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_114_X13Y4_1348,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_134_X3Y8_308,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_165_X5Y6_1100,BaselTMA_SP41_165_X5Y6
BaselTMA_SP41_159_X12Y4_1486,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_106_X2Y9_2318,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_203_X8Y8_1545,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_159_X12Y4_1036,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_11_X13Y7_693,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_204_X16Y4_238_172,BaselTMA_SP41_204_X16Y4_238
BaselTMA_SP41_196_X5Y7_515,BaselTMA_SP41_196_X5Y7
BaselTMA_SP41_112_X5Y8_635,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_203_X8Y8_1086,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_141_X11Y2_1827,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_11_X13Y7_541,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_203_X8Y8_262,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_11_X13Y7_1939,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_211_X4Y6_1279,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_186_X5Y4_4154,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_135_X8Y5_68,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_186_X5Y4_1702,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_141_X11Y2_2791,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_117_X13Y3_1996,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_177_X16Y5_1989,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_100_X15Y5_2424,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_141_X11Y2_5101,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_141_X11Y2_302,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_133_X3Y6_1644,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_126_X14Y7_1344,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_166_X15Y4_407,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_135_X8Y5_1321,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_133_X3Y6_273,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_177_X16Y5_1023,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_191_X15Y7_3720,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_165_X5Y6_790,BaselTMA_SP41_165_X5Y6
BaselTMA_SP41_203_X8Y8_1478,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_101_X10Y8_316,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_186_X5Y4_1992,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_14_X1Y8_593,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_186_X5Y4_2387,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_206_X2Y2_865,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_141_X11Y2_767,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_135_X8Y5_836,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_134_X3Y8_1420,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_129_X7Y8_1645,BaselTMA_SP41_129_X7Y8
BaselTMA_SP41_196_X5Y7_932,BaselTMA_SP41_196_X5Y7
BaselTMA_SP41_187_X3Y2_46,BaselTMA_SP41_187_X3Y2
BaselTMA_SP41_153_X7Y5_1287,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_206_X2Y2_337,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_114_X13Y4_893,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_141_X11Y2_1991,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_100_X15Y5_2415,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_106_X2Y9_2212,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_186_X5Y4_1844,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_186_X5Y4_2130,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_104_X8Y4_233_1381,BaselTMA_SP41_104_X8Y4_233
BaselTMA_SP41_14_X1Y8_2832,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_153_X7Y5_560,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_129_X7Y8_402,BaselTMA_SP41_129_X7Y8
BaselTMA_SP41_206_X2Y2_887,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_177_X16Y5_812,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_159_X12Y4_853,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_114_X13Y4_293,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_100_X15Y5_1816,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_159_X12Y4_807,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_159_X12Y4_667,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_177_X16Y5_1061,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_117_X13Y3_578,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_101_X10Y8_1007,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_117_X13Y3_260,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_177_X16Y5_554,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_20_X12Y5_375,BaselTMA_SP41_20_X12Y5
BaselTMA_SP41_177_X16Y5_2384,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_135_X8Y5_1615,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_177_X16Y5_136,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_206_X1Y2_2261,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_126_X14Y7_1900,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_166_X15Y4_1600,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_166_X15Y4_352,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_211_X4Y6_1492,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_100_X15Y5_3342,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_186_X6Y4_274,BaselTMA_SP41_186_X6Y4
BaselTMA_SP41_117_X13Y3_1746,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_211_X4Y6_1215,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_117_X14Y3_3,BaselTMA_SP41_117_X14Y3
BaselTMA_SP41_177_X16Y5_1362,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_206_X1Y2_810,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_191_X15Y7_2118,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_211_X4Y6_802,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_191_X15Y7_3912,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_11_X13Y7_2467,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_135_X8Y5_1397,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_101_X10Y8_3030,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_11_X13Y7_3436,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_11_X13Y7_272,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_206_X1Y2_2901,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_159_X12Y4_453,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_177_X16Y5_242,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_126_X14Y7_317,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_117_X14Y3_15,BaselTMA_SP41_117_X14Y3
BaselTMA_SP41_100_X15Y5_3442,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_117_X13Y3_4401,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_112_X5Y8_2265,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_133_X3Y6_1857,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_100_X15Y5_699,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_191_X15Y7_3722,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_104_X8Y4_175_632,BaselTMA_SP41_104_X8Y4_175
BaselTMA_SP41_159_X12Y4_2486,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_11_X13Y7_3070,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_186_X5Y4_1299,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_191_X15Y7_2758,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_166_X15Y4_464,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_14_X1Y8_1139,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_104_X8Y4_233_771,BaselTMA_SP41_104_X8Y4_233
