cell,core
BaselTMA_SP41_133_X3Y6_3169,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_126_X14Y7_637,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_153_X7Y5_316,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_100_X15Y5_3182,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_104_X8Y4_175_1418,BaselTMA_SP41_104_X8Y4_175
BaselTMA_SP41_191_X15Y7_4,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_126_X14Y7_390,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_135_X8Y5_15,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_135_X8Y5_3269,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_186_X5Y4_2055,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_166_X15Y4_2203,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_100_X15Y5_1530,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_186_X6Y4_501,BaselTMA_SP41_186_X6Y4
BaselTMA_SP41_133_X3Y6_3842,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_14_X1Y8_294,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_101_X10Y8_1109,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_165_X5Y6_151,BaselTMA_SP41_165_X5Y6
BaselTMA_SP41_114_X13Y4_1057,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_141_X11Y2_2596,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_100_X15Y5_170,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_14_X1Y8_2604,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_186_X5Y4_81,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_20_X12Y5_283,BaselTMA_SP41_20_X12Y5
BaselTMA_SP41_186_X5Y4_3662,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_133_X3Y6_1924,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_104_X8Y4_233_1158,BaselTMA_SP41_104_X8Y4_233
BaselTMA_SP41_186_X5Y4_2054,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_129_X7Y8_1482,BaselTMA_SP41_129_X7Y8
BaselTMA_SP41_129_X7Y8_891,BaselTMA_SP41_129_X7Y8
BaselTMA_SP41_134_X3Y8_336,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_11_X13Y7_674,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_129_X7Y8_1472,BaselTMA_SP41_129_X7Y8
BaselTMA_SP41_191_X15Y7_3656,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_117_X13Y3_727,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_11_X13Y7_2125,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_112_X5Y8_496,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_177_X16Y5_2138,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_196_X5Y7_1270,BaselTMA_SP41_196_X5Y7
BaselTMA_SP41_186_X5Y4_3571,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_11_X13Y7_266,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_133_X3Y6_1061,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_191_X15Y7_3062,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_135_X8Y5_1470,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_177_X16Y5_1497,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_100_X15Y5_1695,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_18_X13Y5_422,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_186_X5Y4_3092,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_126_X14Y7_1104,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_101_X10Y8_2679,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_117_X13Y3_3133,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_153_X7Y5_700,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_14_X1Y8_3398,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_14_X1Y8_2120,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_11_X13Y7_3544,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_20_X12Y5_314,BaselTMA_SP41_20_X12Y5
BaselTMA_SP41_211_X4Y6_373,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_135_X8Y5_1642,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_129_X7Y8_1002,BaselTMA_SP41_129_X7Y8
BaselTMA_SP41_117_X13Y3_3981,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_177_X16Y5_1401,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_101_X10Y8_1726,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_104_X8Y4_175_879,BaselTMA_SP41_104_X8Y4_175
BaselTMA_SP41_11_X13Y7_1245,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_186_X5Y4_4872,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_133_X3Y6_4066,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_117_X13Y3_2130,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_104_X7Y4_192,BaselTMA_SP41_104_X7Y4
BaselTMA_SP41_133_X3Y6_3179,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_126_X14Y7_964,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_203_X8Y8_1406,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_141_X11Y2_4622,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_186_X5Y4_2855,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_18_X13Y5_319,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_18_X13Y5_647,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_141_X11Y2_2058,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_18_X13Y5_162,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_14_X1Y8_406,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_135_X8Y5_1060,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_141_X11Y2_4705,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_114_X13Y4_1177,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_104_X8Y4_233_57,BaselTMA_SP41_104_X8Y4_233
BaselTMA_SP41_11_X13Y7_2127,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_106_X2Y9_575,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_18_X13Y5_1377,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_135_X8Y5_1984,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_206_X2Y2_1192,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_11_X13Y7_3873,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_191_X15Y7_2327,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_11_X13Y7_1284,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_186_X6Y4_1542,BaselTMA_SP41_186_X6Y4
BaselTMA_SP41_101_X10Y8_648,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_186_X5Y4_471,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_129_X7Y8_649,BaselTMA_SP41_129_X7Y8
BaselTMA_SP41_135_X8Y5_2736,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_101_X10Y8_1977,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_187_X4Y2_18,BaselTMA_SP41_187_X4Y2
BaselTMA_SP41_133_X3Y6_3912,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_203_X8Y8_1338,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_141_X11Y2_1374,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_159_X12Y4_282,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_14_X1Y8_3126,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_206_X1Y2_139,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_117_X13Y3_2913,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_100_X15Y5_3308,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_186_X5Y4_4544,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_135_X8Y5_1748,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_18_X13Y5_152,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_104_X8Y4_233_1987,BaselTMA_SP41_104_X8Y4_233
BaselTMA_SP41_206_X2Y2_364,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_114_X13Y4_1900,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_186_X5Y4_2653,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_20_X12Y5_122,BaselTMA_SP41_20_X12Y5
BaselTMA_SP41_196_X5Y7_942,BaselTMA_SP41_196_X5Y7
BaselTMA_SP41_206_X2Y2_1581,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_165_X5Y6_47,BaselTMA_SP41_165_X5Y6
BaselTMA_SP41_104_X8Y4_175_1500,BaselTMA_SP41_104_X8Y4_175
BaselTMA_SP41_211_X4Y6_2046,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_141_X11Y2_3217,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_186_X5Y4_4336,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_106_X2Y9_222,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_206_X2Y2_69,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_104_X8Y4_233_1147,BaselTMA_SP41_104_X8Y4_233
BaselTMA_SP41_203_X8Y8_536,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_100_X15Y5_674,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_204_X16Y4_238_303,BaselTMA_SP41_204_X16Y4_238
BaselTMA_SP41_101_X10Y8_2284,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_153_X7Y5_365,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_211_X4Y6_1213,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_100_X15Y5_2996,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_11_X13Y7_1241,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_141_X12Y2_430,BaselTMA_SP41_141_X12Y2
BaselTMA_SP41_186_X5Y4_2817,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_14_X1Y8_2424,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_129_X7Y8_854,BaselTMA_SP41_129_X7Y8
BaselTMA_SP41_186_X5Y4_2424,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_191_X15Y7_1955,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_101_X10Y8_2803,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_11_X13Y7_1221,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_11_X13Y7_2980,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_196_X5Y7_1320,BaselTMA_SP41_196_X5Y7
BaselTMA_SP41_135_X8Y5_2393,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_206_X2Y2_858,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_126_X14Y7_515,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_104_X8Y4_175_113,BaselTMA_SP41_104_X8Y4_175
BaselTMA_SP41_112_X5Y8_897,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_141_X11Y2_5346,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_206_X1Y2_1978,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_100_X15Y5_2517,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_135_X8Y5_528,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_206_X2Y2_1821,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_159_X12Y4_836,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_211_X4Y6_1840,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_133_X3Y6_715,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_133_X3Y6_498,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_186_X5Y4_4784,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_159_X12Y4_1479,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_141_X11Y2_5466,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_186_X6Y4_1181,BaselTMA_SP41_186_X6Y4
BaselTMA_SP41_165_X5Y6_229,BaselTMA_SP41_165_X5Y6
BaselTMA_SP41_141_X11Y2_1111,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_186_X5Y4_291,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_101_X10Y8_3113,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_133_X3Y6_3328,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_153_X7Y5_1059,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_18_X13Y5_1796,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_191_X15Y7_182,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_135_X8Y5_2974,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_133_X3Y6_905,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_114_X13Y4_733,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_126_X14Y7_2742,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_177_X16Y5_106,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_141_X11Y2_3599,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_14_X1Y8_812,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_126_X14Y7_1200,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_203_X8Y8_238,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_18_X13Y5_817,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_206_X1Y2_960,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_11_X13Y7_659,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_112_X5Y8_1265,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_14_X1Y8_1711,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_126_X14Y7_152,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_186_X5Y4_2082,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_11_X13Y7_4266,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_106_X2Y9_1904,BaselTMA_SP41_106_X2Y9
BaselTMA_SP41_177_X16Y5_1520,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_117_X14Y3_110,BaselTMA_SP41_117_X14Y3
BaselTMA_SP41_206_X1Y2_2856,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_134_X3Y8_645,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_166_X15Y4_2069,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_166_X15Y4_2065,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_101_X10Y8_1728,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_211_X4Y6_916,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_206_X1Y2_1673,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_100_X15Y5_3557,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_126_X14Y7_2186,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_117_X13Y3_2886,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_135_X8Y5_957,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_117_X13Y3_1903,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_141_X11Y2_751,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_104_X8Y4_233_1223,BaselTMA_SP41_104_X8Y4_233
BaselTMA_SP41_117_X13Y3_3632,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_100_X15Y5_1032,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_211_X4Y6_986,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_166_X15Y4_887,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_112_X5Y8_2907,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_104_X7Y4_230,BaselTMA_SP41_104_X7Y4
BaselTMA_SP41_134_X3Y8_1048,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_186_X5Y4_4335,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_11_X13Y7_88,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_133_X3Y6_3429,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_177_X16Y5_2414,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_14_X1Y8_2059,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_206_X2Y2_1235,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_134_X3Y8_632,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_133_X3Y6_3183,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_133_X3Y6_3108,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_153_X7Y5_832,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_206_X2Y2_504,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_101_X10Y8_2531,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_135_X8Y5_1193,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_135_X8Y5_1101,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_11_X13Y7_3715,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_196_X5Y7_162,BaselTMA_SP41_196_X5Y7
BaselTMA_SP41_11_X13Y7_1729,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_114_X13Y4_664,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_101_X10Y8_2714,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_206_X1Y2_3223,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_159_X12Y4_1226,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_141_X11Y2_4466,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_177_X16Y5_569,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_117_X13Y3_3895,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_211_X4Y6_583,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_101_X10Y8_385,BaselTMA_SP41_101_X10Y8
BaselTMA_SP41_104_X8Y4_233_1003,BaselTMA_SP41_104_X8Y4_233
BaselTMA_SP41_165_X5Y6_31,BaselTMA_SP41_165_X5Y6
BaselTMA_SP41_211_X4Y6_123,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_114_X13Y4_1294,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_166_X15Y4_1890,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_18_X13Y5_1291,BaselTMA_SP41_18_X13Y5
BaselTMA_SP41_186_X5Y4_947,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_11_X13Y7_517,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_159_X12Y4_1622,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_135_X8Y5_2061,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_177_X16Y5_1391,BaselTMA_SP41_177_X16Y5
BaselTMA_SP41_141_X11Y2_1114,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_126_X14Y7_1418,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_114_X13Y4_172,BaselTMA_SP41_114_X13Y4
BaselTMA_SP41_11_X13Y7_2838,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_206_X2Y2_1269,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_100_X15Y5_2021,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_117_X13Y3_3983,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_100_X15Y5_1581,BaselTMA_SP41_100_X15Y5
BaselTMA_SP41_191_X15Y7_2751,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_11_X13Y7_435,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_204_X16Y4_237_555,BaselTMA_SP41_204_X16Y4_237
BaselTMA_SP41_14_X1Y8_2088,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_117_X13Y3_75,BaselTMA_SP41_117_X13Y3
